header	time	ax1	ay1	az1	ax2	ay2	az2
[accel]	1364	-228	92	16360	-148	236	16432
[accel]	1374	-216	-72	16372	-68	192	16460
[accel]	1384	-140	0	16464	-108	236	16244
[accel]	1394	-280	4	16252	-76	160	16412
[accel]	1404	-160	4	16360	-168	240	16384
[accel]	1414	-276	68	16416	-140	208	16468
[accel]	1424	-260	20	16416	-88	212	16480
[accel]	1434	-196	48	16360	-60	208	16280
[accel]	1444	-244	52	16356	-64	108	16396
[accel]	1454	-188	28	16404	-196	140	16196
[accel]	1464	-188	48	16276	-92	152	16388
[accel]	1474	-108	-52	16260	-76	276	16320
[accel]	1484	-252	-8	16384	-248	184	16388
[accel]	1494	-188	-20	16292	-96	132	16324
[accel]	1504	-192	80	16492	-52	184	16488
[accel]	1514	-140	-4	16380	-196	220	16320
[accel]	1524	-308	-12	16308	-152	252	16376
[accel]	1534	-236	0	16364	-128	264	16388
[accel]	1544	-208	36	16388	-100	220	16388
[accel]	1554	-168	60	16424	-132	176	16364
[accel]	1564	-248	4	16304	-80	260	16372
[accel]	1574	-220	24	16384	-216	224	16396
[accel]	1584	-188	64	16304	-100	212	16288
[accel]	1594	-172	92	16320	-144	296	16384
[accel]	1604	-300	-16	16368	-104	240	16416
[accel]	1614	-176	100	16336	-136	268	16344
[accel]	1624	-188	-12	16356	-136	180	16452
[accel]	1634	-184	48	16420	-228	156	16408
[accel]	1644	-148	16	16296	-60	244	16488
[accel]	1654	-240	-44	16352	-136	204	16448
[accel]	1664	-180	0	16300	-68	208	16404
[accel]	1674	-228	80	16164	-164	276	16348
[accel]	1684	-308	60	16444	-164	136	16260
[accel]	1694	-232	28	16424	-88	196	16476
[accel]	1704	-192	-16	16200	-76	240	16420
[accel]	1714	-236	-4	16432	-184	224	16364
[accel]	1724	-220	108	16428	-64	140	16528
[accel]	1734	-184	20	16368	-56	296	16308
[accel]	1744	-324	32	16392	-100	204	16356
[accel]	1754	-140	24	16420	-116	224	16408
[accel]	1764	-160	132	16244	-80	252	16324
[accel]	1774	-164	68	16360	-152	112	16440
[accel]	1784	-208	20	16368	-192	180	16372
[accel]	1794	-200	-8	16328	-32	292	16508
[accel]	1804	-196	40	16376	-92	232	16392
[accel]	1814	-152	12	16264	-148	20	16352
[accel]	1824	-240	-72	16228	-112	144	16404
[accel]	1835	-108	36	16380	-208	188	16380
[accel]	1844	-172	48	16192	-84	180	16436
[accel]	1854	-256	-20	16344	-140	144	16360
[accel]	1864	-264	100	16356	-80	176	16400
[accel]	1874	-160	-28	16288	-88	352	16324
[accel]	1884	-144	-100	16416	-84	196	16392
[accel]	1894	-296	-8	16312	-60	184	16368
[accel]	1904	-228	-12	16380	-116	212	16320
[accel]	1914	-204	40	16296	-176	236	16436
[accel]	1924	-200	52	16320	-184	252	16412
[accel]	1934	-256	-16	16368	-184	240	16356
[accel]	1944	-184	12	16324	-208	140	16432
[accel]	1954	-184	68	16388	-148	240	16404
[accel]	1964	-180	-56	16392	-160	184	16376
[accel]	1974	-260	28	16372	-80	260	16312
[accel]	1984	-276	68	16280	-200	204	16428
[accel]	1994	-188	48	16292	-36	184	16444
[accel]	2004	-300	104	16380	-112	224	16472
[accel]	2014	-208	-36	16304	-128	216	16292
[accel]	2024	-164	-8	16360	-124	204	16292
[accel]	2034	-312	64	16380	-64	188	16356
[accel]	2044	-168	-48	16392	-184	152	16484
[accel]	2054	-164	68	16244	-144	100	16348
[accel]	2064	-208	-12	16352	-108	196	16392
[accel]	2074	-224	60	16396	-112	344	16480
[accel]	2084	-244	44	16296	-180	208	16288
[accel]	2094	-216	-40	16308	-80	124	16252
[accel]	2104	-284	28	16320	-48	216	16500
[accel]	2114	-304	-8	16436	-88	208	16396
[accel]	2124	-180	8	16376	-64	192	16340
[accel]	2134	-212	-48	16452	-128	184	16376
[accel]	2144	-144	-76	16424	-116	232	16556
[accel]	2154	-212	48	16256	-56	112	16456
[accel]	2164	-216	-32	16316	-72	248	16284
[accel]	2174	-192	-20	16296	-140	148	16500
[accel]	2184	-128	-40	16384	-92	192	16432
[accel]	2194	-276	-24	16344	-128	80	16344
[accel]	2204	-308	64	16340	-132	156	16472
[accel]	2214	-188	20	16368	-160	188	16388
[accel]	2224	-252	4	16420	-168	288	16368
[accel]	2234	-244	16	16308	-68	212	16268
[accel]	2244	-272	116	16256	-196	184	16560
[accel]	2254	-280	112	16352	-72	316	16476
[accel]	2264	-308	88	16412	-124	288	16408
[accel]	2274	-244	16	16304	-204	144	16408
[accel]	2284	-216	56	16500	-60	164	16440
[accel]	2294	-168	16	16420	-204	296	16448
[accel]	2304	-216	36	16320	-100	212	16392
[accel]	2314	-116	56	16304	-116	156	16368
[accel]	2324	-188	-16	16316	-32	168	16364
[accel]	2334	-192	-36	16264	-100	284	16268
[accel]	2344	-192	52	16580	-36	192	16424
[accel]	2354	-132	56	16284	-152	136	16360
[accel]	2364	-260	-16	16408	-124	116	16380
[accel]	2374	-264	-40	16356	-112	196	16404
[accel]	2384	-264	-128	16284	-224	264	16380
[accel]	2394	-228	-24	16536	-148	232	16424
[accel]	2404	-32	92	16340	-80	300	16548
[accel]	2414	-148	-4	16224	-60	180	16332
[accel]	2424	-172	-52	16340	-136	208	16536
[accel]	2434	-208	-4	16404	-88	184	16440
[accel]	2444	-184	44	16328	-32	208	16536
[accel]	2454	-164	76	16292	-172	180	16368
[accel]	2464	-272	-104	16336	-116	256	16524
[accel]	2475	-228	52	16456	-72	180	16372
[accel]	2484	-196	124	16472	-76	248	16424
[accel]	2494	-248	40	16352	-116	228	16384
[accel]	2504	-76	16	16304	-108	140	16300
[accel]	2514	-220	48	16280	-164	124	16388
[accel]	2524	-200	-4	16280	-260	228	16396
[accel]	2534	-184	-48	16412	-36	224	16468
[accel]	2544	-260	80	16436	-112	228	16388
[accel]	2554	-176	-28	16464	-120	244	16384
[accel]	2564	-172	32	16320	-116	124	16484
[accel]	2574	-212	36	16360	-88	248	16440
[accel]	2584	-124	-64	16472	-172	168	16360
[accel]	2594	-44	64	16352	-148	176	16396
[accel]	2604	-176	-24	16404	-48	248	16260
[accel]	2614	-256	48	16412	-64	276	16560
[accel]	2624	-196	124	16420	-116	184	16336
[accel]	2634	-176	64	16292	-100	212	16436
[accel]	2644	-160	-40	16344	-164	260	16432
[accel]	2654	-228	52	16356	-100	220	16276
[accel]	2664	-164	40	16336	-132	212	16364
[accel]	2674	-108	4	16340	-60	172	16416
[accel]	2684	-172	16	16460	-180	272	16340
[accel]	2694	-148	60	16320	-200	216	16512
[accel]	2704	-152	24	16448	-180	196	16460
[accel]	2714	-160	-44	16452	-124	188	16384
[accel]	2724	-264	-20	16444	-184	204	16396
[accel]	2734	-180	-56	16256	-208	268	16440
[accel]	2744	-188	72	16532	-176	168	16344
[accel]	2754	-244	-12	16372	-200	208	16392
[accel]	2764	-244	104	16420	-208	308	16356
[accel]	2774	-224	40	16440	-160	272	16356
[accel]	2784	-252	-88	16356	-116	288	16540
[accel]	2794	-232	-28	16324	-136	200	16460
[accel]	2804	-204	28	16324	-124	208	16264
