sensor	time	ax	ay	az
2	1117	-476	240	23068
1	1127	1628	-288	15732
2	1127	-432	348	22920
1	1137	1584	-356	15672
2	1137	-376	312	22968
1	1147	1584	-248	15680
2	1147	-568	272	23052
1	1157	1656	-252	15824
2	1157	-464	292	23004
1	1167	1720	-196	15732
2	1167	-632	260	23020
1	1177	1648	-284	15752
2	1177	-440	208	23016
1	1187	1592	-260	15760
2	1187	-468	280	23092
1	1197	1668	-232	15628
2	1197	-568	360	23064
1	1207	1524	-284	15708
2	1207	-480	280	22828
1	1217	1660	-324	15784
2	1217	-536	352	23012
1	1227	1656	-240	15764
2	1227	-436	296	23024
1	1238	1624	-396	15708
2	1238	-576	296	22828
1	1247	1652	-244	15756
2	1247	-464	304	22904
1	1257	1732	-336	15628
2	1257	-420	368	23048
1	1267	1628	-288	15568
2	1267	-572	344	22976
1	1277	1612	-272	15820
2	1277	-448	280	22916
1	1287	1712	-220	15600
2	1287	-536	308	23080
1	1297	1576	-300	15804
2	1297	-536	320	22916
1	1307	1680	-220	15652
2	1307	-488	348	22964
1	1317	1556	-268	15536
2	1317	-408	304	22980
1	1327	1608	-304	15744
2	1327	-452	332	23052
1	1337	1636	-316	15676
2	1337	-572	184	23020
1	1347	1652	-260	15636
2	1347	-548	288	23004
1	1357	1652	-212	15768
2	1357	-552	316	22912
1	1367	1536	-236	15700
2	1367	-516	340	23088
1	1377	1668	-188	15656
2	1377	-416	412	23200
1	1387	1552	-268	15688
2	1387	-516	324	23024
1	1397	1704	-280	15740
2	1397	-496	296	22988
1	1408	1672	-180	15748
2	1408	-448	320	22892
1	1417	1588	-212	15604
2	1417	-620	396	23024
1	1427	1692	-160	15648
2	1427	-532	288	23032
1	1437	1672	-324	15580
2	1437	-512	356	22968
1	1447	1676	-308	15740
2	1447	-544	380	23064
1	1457	1556	-312	15700
2	1457	-508	312	22948
1	1467	1600	-256	15564
2	1467	-516	384	22916
1	1477	1592	-228	15620
2	1477	-564	268	22868
1	1487	1700	-348	15616
2	1487	-548	224	23008
1	1497	1596	-220	15692
2	1497	-432	304	22956
1	1507	1680	-320	15744
2	1507	-552	364	23072
1	1517	1684	-268	15748
2	1517	-484	312	22964
1	1527	1724	-312	15816
2	1527	-564	308	22992
1	1537	1620	-228	15592
2	1537	-472	272	22968
1	1547	1600	-280	15636
2	1547	-456	352	22940
1	1557	1548	-232	15768
2	1557	-408	252	23020
1	1567	1572	-364	15648
2	1567	-484	328	23028
1	1577	1568	-332	15792
2	1577	-560	248	23056
1	1587	1580	-292	15672
2	1587	-452	180	23000
1	1597	1624	-276	15648
2	1597	-468	308	22896
1	1607	1632	-348	15732
2	1607	-504	280	22952
1	1617	1660	-376	15740
2	1617	-488	292	22884
1	1627	1640	-304	15660
2	1627	-456	268	22928
1	1637	1608	-264	15612
2	1637	-424	284	23004
1	1647	1724	-248	15712
2	1647	-500	304	22832
